100  Time: 0.463963	     234.375   2783.235 # matmult_nat
200  Time: 3.535986	     937.500   4205.449 # matmult_nat
500  Time: 110.316992	    5859.375   2259.385 # matmult_nat
1000  Time: 918.853045	   23437.500   2175.811 # matmult_nat
2000  Time: 8706.328869	   93750.000   1837.673 # matmult_nat
5000  Time: 530537.766933	  585937.500    471.220 # matmult_nat
